census_tract,ped_injury_5to18,youth_pop_5to18,commute_priv_vehicle,med_hhincome,avg_ann_daily_traffic,fragment_index
36047014900,9,483,0.148307516,104735,9197,-0.19373522
36047015000,2,207,0.347424042,89663,32938,-1.433612161
36047015100,1,423,0.139545252,112824,11678,-0.241884562
36047015200,2,283,0.483471074,70357,20977,-1.622326351
36047015300,4,291,0.122306348,110303,11678,1.646813925
36047015500,3,426,0.092620109,108715,11678,1.411671546
36047015700,6,417,0.077833572,106781,8911,0.499325241
36047015900,9,406,0.044131168,117704,43519,3.170332227
36047016000,19,618,0.305093046,61078,101231,1.206892166
36047016100,7,247,0.076005961,101563,57885,0.927921862
36047016200,6,215,0.377811094,70441,148382,-0.192262755
36047016300,7,220,0.084507042,79286,57885,1.061393605
36047016400,0,182,0.322580645,60357,181405,6.688868235
36047016500,3,647,0.123792271,122537,15533,-0.345986468
36047016600,3,309,0.61965812,66771,32938,-4.38450746
36047016700,3,514,0.130110203,108365,9288,0.846636247
36047016800,0,203,0.519053876,82917,140015,-2.873136344
36047016900,2,459,0.136830103,73051,8413,1.142293396
36047017000,5,529,0.353443023,67976,17902,-2.171997636
36047017100,2,480,0.175774135,103319,4517,-1.414488196
36047017200,2,467,0.392241379,92583,17902,-2.964651961
36047017400,2,267,0.36682243,66941,140015,-3.078546025
36047017600,5,293,0.345776031,53347,140015,-0.286418408
36047017800,7,417,0.255499154,54813,17902,-0.954284656
36047017900,4,442,0.146814404,56782,13165,-0.208940153
36047018000,6,536,0.292993631,55280,17902,-1.348101426
36047018100,8,245,0.102752294,82255,13165,4.110939961
36047018200,5,435,0.222748815,38708,7069,-0.284238189
36047018300,11,190,0.138183869,93456,13460,0.939877984
36047018400,4,307,0.461038961,69375,7926,-1.80606251
36047018501,14,721,0.174714662,20635,123631,0.110209021
36047018600,1,348,0.358841779,69963,7069,-3.532237615
36047018700,7,167,0.113821138,93393,123631,1.530834083
36047018800,5,361,0.368971061,53065,15942,-2.070585857
36047019000,8,773,0.302744425,43000,27091,-0.667989067
36047019100,2,308,0.074544013,86250,123631,1.910567886
36047019200,3,654,0.344276094,39318,9854,-2.491346603
36047019300,12,465,0.117694805,53450,12207,2.096957988
36047019400,10,452,0.297175141,39750,27091,-0.336158034
36047019500,8,273,0.146403029,72119,12207,1.333594966
36047019600,4,601,0.295387635,41937,6350,-0.558407821
36047019700,11,257,0.142374789,76618,12887,-0.108541999
36047019800,4,253,0.472463768,56827,15942,-2.563534097
36047019900,16,202,0.113573407,65379,13165,4.060833303
36047020000,5,367,0.415,63611,15942,-1.115624614
36047020100,6,268,0.100665883,81885,13165,1.128327589
36047020200,2,277,0.493758669,71250,15942,-2.602178789
36047020300,3,176,0.079348932,111875,57885,1.328151086
36047020400,4,252,0.468223087,67670,15942,-2.504691893
36047020500,9,186,0.097349919,78713,12887,2.544843979
36047020600,7,343,0.483976993,82240,15942,-3.003310938
36047020700,4,386,0.181880109,100976,35457,0.98416535
36047020800,2,460,0.387423935,55215,15806,-0.935077276
36047021000,7,634,0.373782108,49600,15806,-2.492798675
36047021100,4,200,0.258928571,52083,12995,3.484700264
36047021200,7,814,0.224420849,36411,27091,-1.323948991
36047021300,19,584,0.126289926,42794,16761,1.288024561
36047021400,6,507,0.247668394,47500,18257,-1.740197482
36047021500,8,561,0.060913706,60081,35457,1.581612013
36047021600,9,1223,0.349639134,34068,18257,-0.9440835
